MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.4671,52,3.82432,1.24324,582,2.62162,37.77,-122.41,2.5
8.9565,35,6.66554,1.12162,1257,4.24662,34.07,-118.44,5.00001
1.4329,21,3.05776,1.00361,1283,4.63177,33.93,-118.28,0.941
2.1542,27,3.18214,1,1785,3.1875,32.66,-117.1,1.063
4.027,31,4.38763,1.07216,1049,2.16289,33.06,-117.3,2.9
3.4047,26,4.48105,1.08526,1861,1.95895,34.44,-119.74,2.945
2.2794,23,5.76341,1.09512,1168,2.84878,36.99,-120.64,0.757
6.3699,25,5.84681,0.876596,569,2.42128,37.96,-122.1,2.355
2.0087,36,3.49415,1.05853,4582,3.8311,33.98,-118.19,1.721
1.3594,38,4.31034,1.44828,63,2.17241,34.24,-118.38,1.583
4.625,52,5.36816,1.10448,439,2.18408,34.09,-118.27,2.308
3.7578,16,2.53947,0.592105,312,4.10526,34.2,-117.38,1.375
6.8322,25,6.57821,1.06425,823,2.29888,32.92,-117.29,5.00001
5.1423,36,4.84532,1,748,2.69065,33.9,-118.11,1.831
0.9589,47,3.17241,0.925287,593,3.40805,32.7,-117.14,0.9
4.9,42,5.92977,1.20401,815,2.72575,33.83,-118.19,4.063
6.5533,34,6.43115,1.08623,1572,2.18637,34.14,-118.39,5.00001
4.5833,35,5.26923,0.982517,1025,3.58392,34.24,-118.42,1.772
3.1779,17,4.78736,1.08429,781,1.49617,33.61,-117.75,1.865
2.1029,43,4.11247,1.03178,1706,4.17115,34.04,-118.19,1.533
1.7596,26,5.10345,1.0431,268,2.31034,36.32,-119.68,1.208
2.8994,34,5.29521,0.962906,1938,2.99536,36.8,-119.78,0.66
2.0332,33,2.24815,1.18358,3906,3.60332,34.06,-118.3,2.7
3.5583,44,4.51228,1.07544,1280,2.24561,34.17,-118.35,2.32
3.575,18,3.55663,1.13976,838,2.01928,37.41,-122.09,2.74
2.5729,16,5.24126,1.13986,733,2.56294,38.04,-120.35,1.188
6.6204,16,6.7293,0.965834,2464,3.23784,37.75,-121.94,2.961
8.1844,22,7.81707,1.04634,1083,2.64146,32.81,-117.23,4.063
5.0795,36,5.33463,0.972763,666,2.59144,33.81,-118.09,2.433
4.0052,35,5.3369,1.07487,1933,3.44563,34.1,-117.92,1.607
2.7121,20,3.34713,1.0886,5349,3.88453,34.23,-118.46,1.694
2.5489,18,11.9019,2.16355,411,1.92056,33.78,-116.53,2.205
3.5521,17,3.98884,1.03348,1671,3.72991,34.22,-118.37,1.515
3.1906,34,6.01618,1.04531,854,2.76375,35.4,-118.97,0.762
3.8125,27,5.04469,1.29888,791,2.2095,33.61,-117.93,3.667
4.3036,36,5.06563,1.06908,1115,1.92573,34.15,-118.38,3.659
4.1518,52,5.54658,0.950311,1018,3.16149,34.2,-118.15,1.821
6.1509,25,6.11127,1.05706,2163,3.08559,34.06,-118.16,3.151
1.2292,52,2.34014,1.20408,460,3.12925,32.72,-117.15,1.375
2.6311,42,4.96842,1.05263,567,2.98421,33.97,-118.3,1.241
5.883,52,6.21608,1.01256,1104,2.77387,37.82,-122.25,3.407
