claim_nb,exposure,driv_age,veh_age,bonus_malus,log_density,area,brand_b13
1,0.8400,-0.381527,-0.547641,0.757846,1.135339,1.232275,0
1,0.7700,0.763690,-1.274619,2.338437,-0.386106,-0.212150,0
1,0.0300,-0.739408,-1.274619,1.263635,0.185548,0.510063,0
1,0.6200,1.551027,-0.547641,0.757846,1.012854,1.232275,0
1,0.5900,0.047929,-1.274619,-0.633074,0.686407,0.510063,0
1,0.7500,0.334233,0.179336,-0.569850,2.243436,1.954488,0
2,0.3700,-1.526745,-1.274619,3.286792,0.814491,0.510063,0
1,0.6800,-0.023647,-1.274619,-0.633074,0.626564,0.510063,0
1,0.6600,-0.095223,-1.274619,-0.190509,-0.314007,-0.212150,0
1,0.6300,-0.596256,-1.274619,-0.569850,2.001593,1.954488,0
2,0.7800,2.123635,-1.274619,-0.633074,0.295759,0.510063,0
1,0.0400,-0.810984,-1.274619,-0.569850,2.001593,1.954488,0
1,0.9800,-1.669897,-0.911130,1.579753,-0.680497,-0.212150,0
1,0.8700,-0.023647,-0.911130,-0.633074,-1.149305,-1.656575,0
1,0.9300,-0.954136,-0.729386,0.252057,-0.361849,-0.212150,0
1,0.0200,0.334233,-1.274619,-0.633074,0.425580,0.510063,0
1,0.7500,-1.383592,-0.002408,2.211990,1.238631,1.232275,0
1,0.8200,0.191081,0.542825,-0.633074,-1.495547,-1.656575,0
1,0.6300,-0.095223,-1.274619,1.263635,-0.014463,-0.212150,0
1,0.0900,-0.810984,-1.274619,0.694622,-0.568495,-0.212150,0
1,0.1800,-1.455169,-1.274619,1.579753,0.483509,0.510063,0
1,0.0700,-0.739408,-1.274619,-0.316956,0.796269,0.510063,0
1,0.6300,1.336299,-1.274619,-0.633074,-0.343719,-0.212150,0
2,0.5400,-0.309951,-0.547641,-0.633074,-0.835201,-0.934363,1
1,0.1100,-0.453103,-1.274619,0.252057,1.319981,1.232275,0
1,0.0800,-1.025712,-0.184152,2.528108,0.196733,0.510063,0
1,0.6100,0.047929,-0.729386,-0.000838,0.081882,-0.212150,0
1,0.1300,-1.455169,-0.547641,1.579753,-1.035196,-0.934363,0
1,0.4500,0.262657,-1.274619,-0.633074,-0.670993,-0.212150,0
1,0.3500,-1.168864,-1.274619,0.757846,-0.383355,-0.212150,0
2,0.0300,-1.598321,-0.002408,3.286792,0.822804,0.510063,0
1,0.0500,-0.739408,-1.274619,-0.380180,0.921445,1.232275,0
1,0.0800,0.262657,-1.274619,-0.633074,0.314566,0.510063,0
1,0.3600,0.835266,-1.274619,1.579753,0.632698,0.510063,0
1,0.4300,0.119505,0.542825,1.453306,0.599136,0.510063,0
1,0.4200,-0.309951,-1.274619,0.947517,1.191981,1.232275,0
1,0.0200,0.692114,-1.274619,-0.633074,1.390138,1.232275,0
1,0.3300,-0.882560,0.542825,0.188833,-0.752247,-0.934363,0
1,0.0700,-0.238375,-1.092874,-0.000838,0.234986,0.510063,0
1,0.1000,1.049994,-1.274619,-0.633074,0.671499,0.510063,0
3,0.0500,-0.166799,-1.274619,-0.633074,0.258494,0.510063,0
1,0.0600,-0.810984,-1.274619,-0.633074,-0.311605,-0.212150,0
1,0.3400,1.622603,-1.274619,-0.253732,-1.711335,-1.656575,0
1,0.0600,-0.882560,0.361081,0.821070,-0.135626,-0.212150,0
1,0.1100,-0.524680,-1.274619,-0.000838,1.180050,1.232275,0
1,0.1600,0.334233,-1.274619,-0.633074,1.272800,1.232275,0
1,0.2700,-1.097288,0.179336,2.528108,-0.502798,-0.212150,0
1,0.2000,0.262657,-0.002408,-0.633074,-1.073918,-0.934363,1
1,0.2200,-0.954136,-1.274619,0.504951,1.124961,1.232275,0
1,0.1900,1.049994,-0.911130,-0.633074,0.314566,0.510063,0
1,0.2800,0.692114,-1.274619,-0.633074,-0.259140,-0.212150,0
1,0.2600,1.694179,0.179336,0.188833,0.976619,1.232275,0
1,0.2300,0.835266,-1.274619,-0.633074,0.339828,0.510063,0
2,0.2300,-0.739408,-0.911130,2.528108,1.547777,1.232275,0
1,0.0500,-0.023647,-1.274619,-0.633074,1.209046,1.232275,0
1,0.0700,1.336299,-1.274619,-0.633074,0.149502,0.510063,0
1,0.1000,-0.453103,-1.274619,-0.569850,-1.910746,-1.656575,0
1,0.1000,-0.882560,-1.274619,-0.190509,-1.566612,-1.656575,0
1,0.0800,-0.882560,-1.274619,0.378504,1.664403,1.232275,0
1,0.0500,2.052059,-1.274619,-0.633074,1.127535,1.232275,0
1,0.0500,-0.739408,-1.274619,-0.000838,1.631396,1.232275,0
1,0.6600,0.692114,-0.002408,-0.633074,-1.210544,-1.656575,0
1,1.0000,2.052059,1.269803,-0.633074,-0.476015,-0.212150,0
1,1.0000,2.052059,0.724569,-0.633074,-0.295083,-0.212150,0
1,0.0900,2.409940,-0.002408,-0.633074,-0.476015,-0.212150,0
1,1.0000,2.052059,-0.184152,-0.633074,-1.864439,-1.656575,0
1,0.2400,1.479451,-1.092874,-0.633074,1.209046,1.232275,0
1,1.0000,0.692114,0.906314,-0.633074,-0.039744,-0.212150,0
1,1.0000,1.264722,1.088058,-0.633074,-0.295083,-0.212150,0
1,1.0000,1.193146,-0.729386,-0.633074,-1.679070,-1.656575,0
1,1.0000,1.551027,-0.184152,-0.633074,0.099886,-0.212150,0
1,1.0000,1.551027,0.361081,-0.633074,0.246870,0.510063,0
1,0.7500,1.193146,-0.184152,-0.633074,-0.438210,-0.212150,0
1,0.4400,0.477386,-0.911130,-0.633074,-1.910746,-1.656575,0
1,1.0000,0.906842,0.724569,-0.633074,-0.295083,-0.212150,0
1,1.0000,2.910972,1.269803,-0.633074,-0.331137,-0.212150,0
1,0.2000,0.191081,-0.365897,-0.633074,0.329867,0.510063,0
1,0.1800,0.620538,-0.547641,-0.633074,1.242394,1.232275,0
1,0.2500,-0.023647,0.724569,-0.633074,-1.452948,-1.656575,0
1,0.4500,1.193146,1.269803,-0.633074,-0.523809,-0.212150,0
2,0.9600,0.047929,0.906314,-0.633074,-0.333630,-0.212150,0
1,1.0000,2.481516,-0.729386,-0.506627,0.000415,-0.212150,0
2,1.0000,0.334233,1.269803,-0.633074,-1.910746,-1.656575,1
1,0.7500,1.908907,1.451547,-0.633074,-1.035196,-0.934363,0
1,0.4900,0.262657,-1.092874,-0.633074,-0.661656,-0.212150,0
1,0.8200,2.195212,1.269803,-0.633074,-0.786229,-0.934363,0
2,1.0000,2.195212,1.815036,-0.633074,-0.746789,-0.934363,0
1,1.0000,1.622603,-0.002408,-0.633074,-0.822529,-0.934363,0
1,1.0000,1.622603,0.906314,-0.633074,-0.207430,-0.212150,0
1,1.0000,1.121570,0.179336,-0.633074,-1.413508,-1.656575,0
1,1.0000,1.837331,-0.547641,-0.633074,-0.786229,-0.934363,0
1,1.0000,1.980483,0.542825,-0.633074,-0.299751,-0.212150,0
1,0.4300,-0.453103,-0.547641,-0.633074,-2.017543,-1.656575,0
1,1.0000,0.548962,-1.092874,-0.633074,-1.149305,-1.656575,0
1,1.0000,1.193146,-0.365897,-0.633074,0.084166,-0.212150,0
1,0.1500,0.191081,-0.547641,-0.127285,-1.821840,-1.656575,0
1,1.0000,0.763690,1.269803,-0.633074,1.209046,1.232275,0
1,1.0000,1.121570,2.542013,-0.633074,-0.375188,-0.212150,0
1,1.0000,-0.453103,-1.274619,0.757846,-0.295083,-0.212150,0
1,0.1200,1.407875,0.724569,-0.633074,-0.957174,-0.934363,0
1,0.4100,1.049994,-1.274619,-0.633074,1.625512,1.232275,0
1,1.0000,1.121570,-0.729386,-0.569850,-0.321281,-0.212150,0
1,0.8800,-0.667832,1.815036,-0.127285,0.522411,0.510063,0
1,0.0800,-0.739408,1.633291,-0.633074,-0.207430,-0.212150,1
1,0.1100,-1.669897,1.088058,1.579753,0.517386,0.510063,0
1,0.5800,2.409940,-0.547641,-0.633074,0.842900,0.510063,0
1,0.2000,0.047929,1.996780,2.528108,0.842900,0.510063,0
1,1.0000,1.193146,0.542825,-0.633074,0.246870,0.510063,0
1,1.0000,-0.238375,0.724569,-0.633074,0.246870,0.510063,0
2,0.3000,-0.166799,-0.365897,-0.633074,-0.925859,-0.934363,0
1,0.6300,-0.453103,0.179336,-0.633074,-1.172962,-1.656575,0
1,0.2300,0.548962,1.088058,-0.633074,0.634321,0.510063,0
1,0.7500,-1.741473,0.906314,1.263635,-1.326066,-1.656575,0
1,0.2400,-1.526745,1.633291,1.895872,1.020952,1.232275,0
1,0.2500,-0.166799,-0.365897,-0.633074,-0.154917,-0.212150,0
0,0.9900,0.548962,-0.911130,-0.633074,-1.007898,-0.934363,0
0,0.7500,-1.240440,0.724569,1.579753,-1.961470,-1.656575,0
0,1.0000,-0.524680,-0.184152,-0.633074,-1.104929,-0.934363,0
0,0.3400,-0.166799,0.361081,0.504951,-0.835201,-0.934363,0
0,0.3900,-1.240440,-1.092874,1.895872,-0.133906,-0.212150,0
0,0.9900,0.047929,-0.184152,-0.633074,-0.973550,-0.934363,0
0,1.0000,-0.023647,0.179336,-0.633074,-0.798056,-0.934363,0
0,0.4000,-1.526745,1.088058,2.211990,-0.666304,-0.212150,0
0,0.4000,-0.667832,0.724569,-0.633074,-0.786229,-0.934363,0
0,1.0000,-0.023647,-0.365897,-0.633074,-0.798056,-0.934363,0
0,0.6900,-1.526745,-0.729386,1.579753,-0.160302,-0.212150,0
0,1.0000,-1.312016,-0.184152,2.211990,-0.160302,-0.212150,0
0,1.0000,-0.954136,1.269803,-0.000838,-1.073918,-0.934363,0
0,1.0000,0.692114,0.179336,-0.633074,-1.679070,-1.656575,0
0,0.0900,-1.455169,0.179336,1.579753,0.634321,0.510063,0
0,0.2400,1.049994,1.451547,-0.633074,-0.973550,-0.934363,1
0,0.7000,0.763690,0.361081,-0.633074,-0.388870,-0.212150,0
0,0.4900,0.262657,0.361081,-0.633074,-0.388870,-0.212150,0
0,1.0000,-0.954136,0.542825,-0.000838,1.209046,1.232275,0
0,1.0000,-1.097288,-0.547641,-0.633074,-0.584265,-0.212150,0
0,0.3300,-1.669897,1.815036,2.211990,0.634321,0.510063,0
0,1.0000,-0.882560,1.088058,-0.633074,-1.210544,-1.656575,0
0,1.0000,-1.097288,0.179336,1.010741,-0.981932,-0.934363,0
0,1.0000,0.835266,0.361081,-0.633074,-0.405767,-0.212150,0
0,0.8300,-0.023647,-0.002408,-0.633074,-1.648651,-1.656575,0
0,1.0000,-1.168864,0.179336,-0.633074,-1.711335,-1.656575,0
0,1.0000,0.548962,-0.002408,-0.633074,-1.294751,-1.656575,1
0,0.2800,-0.739408,1.451547,1.010741,0.186489,0.510063,0
0,1.0000,1.264722,-0.547641,-0.633074,-1.172962,-1.656575,0
1,0.3300,-0.667832,0.361081,0.188833,-1.518197,-1.656575,0
0,0.4000,0.334233,0.361081,-0.633074,0.194885,0.510063,0
0,1.0000,-1.168864,-0.365897,1.579753,-1.237160,-1.656575,0
0,0.4900,-1.025712,1.269803,0.504951,-1.473821,-1.656575,0
0,0.0200,0.191081,-0.002408,-0.633074,-0.841652,-0.934363,0
0,0.0600,-0.882560,-0.911130,-0.633074,-0.441260,-0.212150,0
0,1.0000,1.980483,-1.092874,-0.633074,-0.211387,-0.212150,0
0,0.2100,0.334233,0.542825,-0.633074,-1.007898,-0.934363,0
0,0.2400,0.477386,0.542825,-0.633074,-0.973550,-0.934363,0
0,0.7500,-1.526745,1.269803,0.757846,-0.973550,-0.934363,0
0,1.0000,1.193146,-0.547641,-0.633074,-0.828828,-0.934363,1
0,0.4800,-0.596256,0.179336,-0.569850,-0.299751,-0.212150,0
0,0.0200,-1.669897,-0.911130,4.551264,2.243436,1.954488,0
0,0.7100,-0.381527,-0.547641,1.010741,-1.711335,-1.656575,0
0,1.0000,-0.381527,0.361081,-0.633074,-1.126655,-1.656575,0
0,1.0000,-0.166799,3.087246,-0.633074,-1.864439,-1.656575,0
0,1.0000,0.978418,0.542825,-0.633074,-1.541854,-1.656575,0
0,0.9300,0.763690,-0.729386,1.263635,0.182715,0.510063,0
1,1.0000,2.553092,-0.911130,-0.127285,-0.715164,-0.212150,0
0,0.0400,0.262657,1.451547,-0.633074,-0.768967,-0.934363,0
0,0.1300,-0.309951,-0.002408,-0.633074,-1.223686,-1.656575,0
0,0.3400,-0.667832,-0.365897,-0.633074,-0.710071,-0.212150,0
0,0.2700,-1.383592,0.361081,0.757846,0.387661,0.510063,0
0,1.0000,-0.381527,-0.002408,-0.633074,-1.185197,-1.656575,0
0,0.3700,0.119505,0.906314,-0.633074,-1.185197,-1.656575,0
0,0.2000,-1.598321,1.269803,2.528108,-1.185197,-1.656575,0
0,1.0000,-0.667832,-0.002408,0.252057,0.853477,0.510063,0
0,0.6500,-0.596256,0.179336,-0.633074,0.265835,0.510063,0
0,0.3400,-1.097288,-0.729386,-0.633074,0.421968,0.510063,0
0,0.0900,-1.383592,-1.274619,-0.000838,0.634321,0.510063,0
0,0.3600,-1.526745,-0.184152,1.010741,-1.432863,-1.656575,1
0,1.0000,-0.524680,2.360269,1.579753,-1.495547,-1.656575,0
0,1.0000,0.191081,-0.911130,-0.633074,0.634321,0.510063,0
0,1.0000,-0.810984,0.542825,-0.000838,0.332732,0.510063,0
0,0.5300,0.334233,0.906314,0.315280,0.921445,1.232275,0
0,0.0300,0.405810,0.724569,-0.569850,-1.210544,-1.656575,0
0,1.0000,0.835266,-0.002408,0.252057,0.921445,1.232275,0
0,0.9600,-1.741473,0.179336,1.895872,0.223708,0.510063,0
0,0.5100,0.262657,0.179336,-0.633074,-1.126655,-1.656575,0
0,0.6700,0.405810,-1.092874,-0.633074,-0.810152,-0.934363,0
0,1.0000,-0.524680,-1.092874,-0.569850,-1.197720,-1.656575,0
0,1.0000,0.262657,-0.365897,-0.633074,-0.435178,-0.212150,0
0,0.8700,-0.596256,-0.547641,-0.569850,0.627386,0.510063,0
0,0.7000,0.047929,0.906314,-0.633074,0.739531,0.510063,0
0,0.8600,0.119505,-0.729386,1.073964,0.627386,0.510063,0
1,0.7500,-0.667832,-0.911130,-0.633074,-0.459936,-0.212150,0
0,0.0200,-1.097288,1.269803,0.757846,1.242394,1.232275,0
0,1.0000,0.763690,0.906314,-0.633074,0.028979,-0.212150,0
0,0.6400,-0.023647,-1.274619,-0.633074,0.339123,0.510063,0
0,0.1200,-0.954136,-0.184152,0.125610,-1.044616,-0.934363,0
0,0.3300,-1.097288,1.451547,1.263635,0.582421,0.510063,0
0,1.0000,-0.596256,0.542825,0.757846,-0.209404,-0.212150,0
0,0.8700,-0.954136,0.179336,-0.569850,-0.752247,-0.934363,0
0,0.8800,-1.813049,1.996780,1.895872,-0.675724,-0.212150,0
0,0.2000,-1.097288,0.179336,0.631399,2.243436,1.954488,0
0,1.0000,0.763690,1.451547,-0.633074,-1.197720,-1.656575,0
0,1.0000,1.551027,1.451547,-0.633074,-0.584265,-0.212150,0
1,1.0000,-0.238375,1.815036,0.757846,-1.126655,-1.656575,0
0,0.9200,-0.739408,1.088058,0.504951,-0.400075,-0.212150,0
0,0.7200,-1.813049,1.088058,1.895872,0.132085,0.510063,0
0,0.7400,0.191081,-0.184152,-0.253732,-0.184287,-0.212150,0
0,1.0000,-1.168864,0.724569,-0.190509,-1.237160,-1.656575,0
0,1.0000,-0.954136,0.906314,0.252057,0.638359,0.510063,0
0,0.4100,-0.810984,-1.092874,-0.000838,-0.472760,-0.212150,0
0,1.0000,-0.596256,-0.184152,-0.633074,-1.821840,-1.656575,1
0,1.0000,-0.238375,1.088058,1.263635,-0.092630,-0.212150,0
0,0.2700,-0.882560,1.269803,-0.633074,-0.176791,-0.212150,0
1,0.5900,-0.453103,-0.729386,1.959095,-1.342443,-1.656575,0
0,0.2600,-0.453103,-0.911130,1.579753,-0.556967,-0.212150,0
1,1.0000,0.262657,1.815036,4.108699,-1.250984,-1.656575,0
0,0.5700,-1.240440,-0.547641,0.252057,1.974328,1.954488,0
0,0.2900,-0.524680,0.906314,-0.633074,-1.518197,-1.656575,0
0,1.0000,0.334233,0.906314,-0.633074,1.625512,1.232275,0
0,0.5300,-0.309951,-0.365897,-0.633074,1.631396,1.232275,0
0,0.5600,0.334233,-0.365897,-0.633074,0.004401,-0.212150,0
0,0.8700,-0.381527,-0.365897,0.252057,0.638359,0.510063,0
0,1.0000,0.047929,1.088058,-0.380180,-0.154917,-0.212150,0
0,0.6300,0.548962,1.269803,2.211990,-0.235766,-0.212150,0
0,1.0000,0.047929,-0.547641,-0.633074,-0.246264,-0.212150,0
0,1.0000,1.121570,0.361081,-0.633074,0.622435,0.510063,0
0,1.0000,-1.526745,1.633291,0.252057,-1.084056,-0.934363,0
0,0.1400,-1.455169,0.179336,1.263635,-0.868268,-0.934363,0
0,0.4900,-0.596256,0.542825,-0.633074,-0.752247,-0.934363,0
0,1.0000,1.837331,-0.911130,-0.633074,0.255198,0.510063,0
0,0.1400,0.620538,-0.911130,-0.633074,0.255198,0.510063,0
0,0.0500,1.121570,-1.274619,-0.633074,0.196733,0.510063,0
0,0.0700,-0.596256,-1.274619,-0.633074,-0.295083,-0.212150,0
0,1.0000,-1.383592,-0.184152,1.010741,-0.768967,-0.934363,0
1,1.0000,-0.095223,0.361081,-0.633074,1.907708,1.954488,0
0,1.0000,-1.312016,-0.184152,-0.190509,0.000415,-0.212150,0
0,0.1200,-0.453103,0.906314,-0.190509,-0.752247,-0.934363,0
0,0.8100,-0.238375,1.451547,-0.633074,-1.137859,-1.656575,0
0,0.0900,0.906842,-0.002408,-0.633074,0.634727,0.510063,0
0,0.6900,-0.238375,1.815036,-0.633074,-1.745682,-1.656575,0
0,0.6100,-1.455169,1.269803,1.579753,-1.821840,-1.656575,0
0,0.5400,0.477386,-0.002408,0.821070,-1.541854,-1.656575,0
0,0.0900,-1.168864,1.451547,-0.190509,0.329867,0.510063,0
0,1.0000,0.620538,-0.002408,-0.633074,0.329867,0.510063,0
0,0.4200,-1.312016,1.088058,2.211990,1.319981,1.232275,0
0,0.0800,-0.810984,-1.092874,0.568175,0.885520,1.232275,0
0,0.4300,-0.810984,-1.092874,0.568175,0.885520,1.232275,0
0,0.8900,0.692114,-1.092874,-0.633074,1.149536,1.232275,0
0,0.3300,-0.810984,-0.729386,-0.190509,1.676607,1.232275,0
0,1.0000,1.121570,-0.365897,-0.633074,0.848079,0.510063,0
0,0.6900,-1.097288,-0.911130,1.390082,1.676607,1.232275,0
0,0.7500,-1.168864,-0.729386,-0.633074,0.638359,0.510063,0
0,0.0600,-0.596256,-0.911130,-0.633074,1.175231,1.232275,0
0,1.0000,0.477386,0.542825,-0.633074,1.676607,1.232275,0
0,1.0000,-0.023647,0.542825,-0.633074,1.084615,1.232275,0
0,0.7800,-0.095223,0.179336,-0.633074,0.354429,0.510063,0
1,1.0000,2.839396,0.542825,-0.506627,0.490459,0.510063,0
0,0.2900,-0.166799,1.088058,-0.633074,-0.513200,-0.212150,0
0,0.9600,0.405810,0.724569,-0.633074,-0.680497,-0.212150,0
0,1.0000,-0.095223,-0.002408,-0.633074,0.517386,0.510063,0
0,1.0000,-1.598321,0.179336,2.211990,0.517386,0.510063,0
0,1.0000,0.763690,-0.729386,-0.633074,0.329867,0.510063,0
0,0.3500,-1.168864,0.361081,0.504951,-1.161002,-1.656575,0
0,1.0000,-1.025712,0.724569,-0.633074,-1.864439,-1.656575,0
0,1.0000,-0.524680,2.178524,-0.633074,1.179468,1.232275,0
0,0.5300,-0.238375,-1.274619,-0.633074,-0.549418,-0.212150,0
0,1.0000,1.551027,-0.547641,-0.633074,0.077284,-0.212150,0
0,0.5600,0.692114,-1.274619,-0.633074,-0.492596,-0.212150,0
0,0.2400,-0.023647,-0.729386,-0.633074,1.504547,1.232275,0
0,0.5700,-1.598321,-0.002408,1.895872,-0.060272,-0.212150,0
0,0.0800,0.477386,-0.002408,-0.633074,0.316043,0.510063,0
0,1.0000,-0.954136,0.906314,-0.569850,1.686634,1.232275,0
0,1.0000,-1.240440,1.269803,0.504951,-0.965299,-0.934363,0
0,0.2400,1.264722,-0.184152,-0.633074,-0.690173,-0.212150,0
0,0.5800,-1.240440,-0.547641,0.062386,0.143420,0.510063,0
0,0.4300,1.908907,-1.274619,1.895872,0.188366,0.510063,0
0,0.0900,-0.381527,-0.365897,-0.633074,-0.757762,-0.934363,0
0,0.3000,-0.023647,1.633291,-0.569850,1.243944,1.232275,0
0,1.0000,-1.168864,-0.547641,0.757846,1.223576,1.232275,1
0,1.0000,0.119505,-0.184152,-0.633074,0.640768,0.510063,0
0,0.6300,-0.524680,1.633291,2.528108,-0.213376,-0.212150,0
0,0.1700,-1.741473,1.633291,2.211990,1.277057,1.232275,0
0,1.0000,-1.097288,-0.547641,-0.000838,0.008358,-0.212150,0
0,0.0300,-1.097288,0.179336,0.504951,-1.115681,-1.656575,0
0,0.7700,-1.025712,0.542825,-0.633074,0.612393,0.510063,1
0,1.0000,-0.739408,0.542825,0.252057,0.008358,-0.212150,0
0,0.0200,-1.240440,0.724569,2.528108,-0.560782,-0.212150,0
0,0.2800,-1.455169,-0.547641,0.757846,-1.745682,-1.656575,0
0,0.4600,3.841461,0.542825,-0.569850,-1.342443,-1.656575,0
0,0.3700,-1.526745,0.906314,1.263635,0.008358,-0.212150,0
0,0.7900,-0.739408,2.360269,-0.633074,-0.661656,-0.212150,0
0,0.2700,-0.882560,-0.184152,0.757846,1.839934,1.954488,0
0,1.0000,-0.166799,1.451547,-0.633074,0.008358,-0.212150,0
0,1.0000,0.477386,-0.911130,-0.633074,-1.821840,-1.656575,0
0,0.0600,-0.810984,0.724569,0.757846,-1.394832,-1.656575,0
0,0.5800,0.334233,0.179336,-0.633074,0.008358,-0.212150,1
0,0.7700,-1.598321,-0.184152,1.010741,-0.405767,-0.212150,0
0,0.1000,-0.882560,-0.365897,-0.000838,1.225981,1.232275,0
0,0.1400,-1.526745,-0.547641,2.211990,0.008358,-0.212150,0
0,1.0000,0.548962,-0.365897,-0.633074,-0.730741,-0.212150,0
1,1.0000,2.409940,-0.184152,0.062386,-1.172962,-1.656575,0
0,1.0000,-1.598321,-0.911130,1.263635,-0.786229,-0.934363,0
0,0.1300,-1.383592,0.724569,0.125610,-1.821840,-1.656575,0
0,1.0000,-0.309951,1.088058,-0.000838,-0.786229,-0.934363,0
0,0.4000,-1.455169,-1.274619,0.694622,1.491267,1.232275,0
0,1.0000,1.336299,0.542825,-0.633074,-1.394832,-1.656575,0
0,0.2600,-0.166799,-0.002408,0.757846,-0.584265,-0.212150,0
0,0.0500,-1.455169,-0.184152,0.504951,-0.786229,-0.934363,0
0,0.2100,0.262657,1.996780,-0.633074,-1.197720,-1.656575,0
0,0.5200,-1.097288,-0.911130,-0.380180,-0.184287,-0.212150,0
0,0.5000,-0.810984,-0.184152,0.631399,-1.172962,-1.656575,0
0,1.0000,1.551027,0.361081,-0.633074,0.598703,0.510063,0
0,1.0000,1.407875,0.906314,-0.633074,1.149536,1.232275,0
0,0.2100,-0.524680,-0.002408,-0.633074,0.712583,0.510063,0
0,0.0800,0.334233,-0.365897,-0.633074,1.625512,1.232275,0
0,0.3000,0.548962,1.633291,1.895872,-1.223686,-1.656575,0
0,1.0000,0.262657,0.179336,-0.633074,-0.786229,-0.934363,0
0,1.0000,0.405810,1.451547,-0.633074,-0.725498,-0.212150,0
0,1.0000,-0.166799,0.724569,-0.633074,-0.999101,-0.934363,0
0,1.0000,0.262657,0.906314,-0.633074,-0.868268,-0.934363,0
0,1.0000,1.837331,0.542825,-0.633074,0.090960,-0.212150,0
0,1.0000,0.119505,-0.911130,-0.633074,-0.081624,-0.212150,0
0,0.0900,0.191081,0.179336,-0.633074,-0.617280,-0.212150,0
0,1.0000,0.334233,0.361081,-0.633074,0.090960,-0.212150,0
0,0.7700,-1.097288,1.269803,0.252057,-0.675724,-0.212150,0
0,0.7800,-0.381527,-1.092874,-0.633074,0.090960,-0.212150,0
0,0.1600,0.548962,-1.274619,1.010741,1.077788,1.232275,0
0,0.9800,-0.023647,1.633291,-0.190509,0.090960,-0.212150,0
0,0.4700,-0.023647,-0.184152,-0.633074,-1.745682,-1.656575,0
0,1.0000,1.980483,-0.184152,-0.633074,2.243436,1.954488,0
0,0.4900,-0.238375,0.906314,-0.190509,0.634321,0.510063,0
0,1.0000,0.262657,1.088058,-0.633074,1.238631,1.232275,0
0,1.0000,-1.168864,0.361081,1.010741,-0.792110,-0.934363,0
0,0.4600,2.052059,1.451547,-0.633074,-1.126655,-1.656575,0
0,1.0000,0.191081,0.361081,-0.633074,-0.588282,-0.212150,0
0,1.0000,1.479451,0.906314,-0.633074,1.209046,1.232275,0
0,0.2500,-1.383592,-0.547641,0.757846,0.200410,0.510063,0
0,0.7800,1.908907,-0.911130,-0.633074,1.209046,1.232275,0
0,0.0300,0.334233,1.088058,-0.633074,-0.188075,-0.212150,0
