year,month,decimal_date,ppm,fold
1958,3,1958.2027,315.71,2
1958,4,1958.2877,317.45,2
1958,5,1958.3699,317.51,7
1958,6,1958.4548,317.27,9
1958,7,1958.5370,315.87,3
1958,9,1958.7068,313.21,4
1958,10,1958.7890,312.42,7
1958,11,1958.8740,313.33,6
1958,12,1958.9562,314.67,5
1959,1,1959.0411,315.58,1
1959,2,1959.1260,316.49,4
1959,3,1959.2027,316.65,8
1959,4,1959.2877,317.72,6
1959,6,1959.4548,318.15,0
1959,7,1959.5370,316.54,4
1959,8,1959.6219,314.80,3
1959,9,1959.7068,313.84,4
1959,10,1959.7890,313.33,5
1959,11,1959.8740,314.81,3
1959,12,1959.9562,315.58,9
1960,3,1960.2049,317.58,6
1960,5,1960.3716,320.03,6
1960,6,1960.4563,319.58,7
1960,8,1960.6230,315.90,8
1960,9,1960.7077,314.17,2
1960,10,1960.7896,313.83,4
1960,11,1960.8743,315.00,0
1960,12,1960.9563,316.19,6
1961,1,1961.0411,316.89,6
1961,5,1961.3699,320.58,2
1961,6,1961.4548,319.77,3
1961,8,1961.6219,316.79,3
1961,10,1961.7890,315.31,7
1961,11,1961.8740,316.10,5
1961,12,1961.9562,317.01,2
1962,1,1962.0411,317.94,6
1962,3,1962.2027,319.68,6
1962,5,1962.3699,321.02,2
1962,8,1962.6219,317.40,8
1962,10,1962.7890,315.42,3
1962,11,1962.8740,316.69,6
1963,1,1963.0411,318.74,1
1963,2,1963.1260,319.07,6
1963,3,1963.2027,319.86,6
1963,4,1963.2877,321.38,5
1963,5,1963.3699,322.24,2
1963,6,1963.4548,321.49,7
1963,7,1963.5370,319.74,0
1963,8,1963.6219,317.77,2
1963,9,1963.7068,316.21,2
1963,10,1963.7890,315.99,3
1963,11,1963.8740,317.07,3
1963,12,1963.9562,318.35,2
1964,1,1964.0410,319.57,1
1964,2,1964.1257,320.04,1
1964,3,1964.2049,320.75,9
1964,4,1964.2896,321.84,2
1964,5,1964.3716,322.25,9
1964,6,1964.4563,321.89,9
1964,7,1964.5383,320.44,4
1964,8,1964.6230,318.69,7
1964,9,1964.7077,316.71,2
1964,10,1964.7896,316.87,6
1964,11,1964.8743,317.68,1
1964,12,1964.9563,318.71,8
1965,3,1965.2027,320.89,9
1965,4,1965.2877,322.14,8
1965,5,1965.3699,322.17,6
1965,6,1965.4548,321.87,5
1965,7,1965.5370,321.21,0
1965,9,1965.7068,317.82,3
1965,10,1965.7890,317.30,4
1965,11,1965.8740,318.87,2
1965,12,1965.9562,319.42,7
1966,1,1966.0411,320.62,9
1966,2,1966.1260,321.60,8
1966,3,1966.2027,322.39,0
1966,4,1966.2877,323.70,9
1966,5,1966.3699,324.08,7
1966,6,1966.4548,323.75,7
1966,7,1966.5370,322.37,6
1966,8,1966.6219,320.36,0
1966,10,1966.7890,318.10,4
1966,11,1966.8740,319.78,4
1967,2,1967.1260,322.50,3
1967,4,1967.2877,324.41,9
1967,5,1967.3699,325.00,3
1967,6,1967.4548,324.09,0
1967,8,1967.6219,320.92,2
1967,9,1967.7068,319.25,5
1967,11,1967.8740,320.73,7
1967,12,1967.9562,321.96,2
1968,1,1968.0410,322.57,3
1968,2,1968.1257,323.15,6
1968,3,1968.2049,323.89,1
1968,5,1968.3716,325.57,1
1968,7,1968.5383,324.14,9
1968,8,1968.6230,322.11,8
1968,9,1968.7077,320.33,9
1968,10,1968.7896,320.25,1
1968,11,1968.8743,321.32,0
1969,2,1969.1260,324.41,2
1969,5,1969.3699,327.38,2
1969,8,1969.6219,323.66,6
1969,10,1969.7890,321.78,6
1969,12,1969.9562,324.11,6
1970,1,1970.0411,325.06,6
1970,2,1970.1260,325.99,9
1970,4,1970.2877,328.13,3
1970,6,1970.4548,327.67,7
1970,7,1970.5370,326.34,6
1970,8,1970.6219,324.68,2
1970,9,1970.7068,323.10,6
1970,10,1970.7890,323.06,7
1970,11,1970.8740,324.01,7
1970,12,1970.9562,325.13,8
1971,1,1971.0411,326.17,4
1971,5,1971.3699,328.93,2
1971,6,1971.4548,328.57,2
1971,8,1971.6219,325.43,8
1971,9,1971.7068,323.36,3
1971,10,1971.7890,323.56,8
1971,11,1971.8740,324.80,3
1972,1,1972.0410,326.77,9
1972,2,1972.1257,327.63,9
1972,3,1972.2049,327.75,7
1972,4,1972.2896,329.72,6
1972,6,1972.4563,329.09,3
1972,7,1972.5383,328.04,0
1972,8,1972.6230,326.32,9
1972,10,1972.7896,325.20,9
1972,11,1972.8743,326.50,3
1972,12,1972.9563,327.55,2
1973,1,1973.0411,328.55,7
1973,4,1973.2877,331.50,2
1973,5,1973.3699,332.48,7
1973,6,1973.4548,332.07,3
1973,10,1973.7890,327.19,0
1973,11,1973.8740,328.17,9
1974,2,1974.1260,330.71,5
1974,4,1974.2877,332.65,5
1974,5,1974.3750,333.19,6
1974,6,1974.4583,332.20,5
1974,7,1974.5417,331.07,0
1974,8,1974.6250,329.15,9
1974,9,1974.7083,327.33,4
1974,10,1974.7917,327.28,3
1974,11,1974.8750,328.31,3
1975,1,1975.0417,330.73,9
1975,3,1975.2083,331.94,1
1975,4,1975.2917,333.11,7
1975,6,1975.4583,333.42,8
1975,7,1975.5417,331.97,0
1975,9,1975.7083,328.49,1
1975,11,1975.8750,329.38,2
1975,12,1975.9583,330.77,4
1976,1,1976.0417,331.56,6
1976,2,1976.1250,332.74,6
1976,3,1976.2083,333.36,3
1976,4,1976.2917,334.74,0
1976,5,1976.3750,334.72,0
1976,6,1976.4583,333.97,1
1976,8,1976.6250,330.68,2
